,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.28565151093034846, 'Std': 0.3702428914593152}","{'Mean': -0.06224807200067004, 'Std': 0.011117307444309492}","{'Mean': -0.06472498583405288, 'Std': 0.010993575089895858}","{'Mean': -0.059688667093484485, 'Std': 0.010939066382173464}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.2466628776374288, 'Std': 0.17928814199583817}","{'Mean': -0.06257818148341851, 'Std': 0.010306807325924656}","{'Mean': -0.06033844413879624, 'Std': 0.007811103825024293}","{'Mean': -0.05978249675123556, 'Std': 0.010959738928032889}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.08368800291652626, 'Std': 0.037606415194089526}","{'Mean': -0.06207019926107563, 'Std': 0.011222953071365175}","{'Mean': -0.06312358281077494, 'Std': 0.010919634089827022}","{'Mean': -0.05916754615933854, 'Std': 0.011218020388418147}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.158348792103135, 'Std': 0.060098590504512675}","{'Mean': -0.06112407843139593, 'Std': 0.011530288425193503}","{'Mean': -0.06542346867728648, 'Std': 0.01585239619468403}","{'Mean': -0.060030493762880055, 'Std': 0.01169241591949811}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.13900351292405583, 'Std': 0.06653994538946752}","{'Mean': -0.061210274713584, 'Std': 0.012652341149787229}","{'Mean': -0.06625316039081056, 'Std': 0.011583275225203707}","{'Mean': -0.059847064942129304, 'Std': 0.011932669892609086}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.19604715312693405, 'Std': 0.24561802957788206}","{'Mean': -0.059862403952354745, 'Std': 0.012539617430397857}","{'Mean': -0.0652778234630828, 'Std': 0.011388675101430858}","{'Mean': -0.06024151964442549, 'Std': 0.012242452206946709}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.20343057393606362, 'Std': 0.2710138086203595}","{'Mean': -0.06122781778344453, 'Std': 0.012362297028688487}","{'Mean': -0.06611084789210771, 'Std': 0.019654611976979302}","{'Mean': -0.05999522188432842, 'Std': 0.011725383181974525}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.2275608628403218, 'Std': 0.29297936650350725}","{'Mean': -0.06053904084515334, 'Std': 0.012341384419572405}","{'Mean': -0.06423447228165749, 'Std': 0.013867318023270177}","{'Mean': -0.06010295782242202, 'Std': 0.011826872971199524}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.0671950762747103, 'Std': 0.014301361619211299}","{'Mean': -0.05997091204903239, 'Std': 0.01303514328711638}","{'Mean': -0.0667357085275105, 'Std': 0.009313065297379842}","{'Mean': -0.06018652600656923, 'Std': 0.012234467322120263}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -0.366179622331079, 'Std': 0.28989782429484245}","{'Mean': -0.06187541093762074, 'Std': 0.01185632102661817}","{'Mean': -0.06565220608045681, 'Std': 0.01144302607356458}","{'Mean': -0.05985083939403012, 'Std': 0.011425497026085859}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -0.18526572877703962, 'Std': 0.09104449177748548}","{'Mean': -0.06207961126569084, 'Std': 0.011536451451204214}","{'Mean': -0.061780064416137925, 'Std': 0.011014609048263995}","{'Mean': -0.05998456481547214, 'Std': 0.011544941053361726}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,temperature,","{'Mean': -0.12388149837186035, 'Std': 0.09864287604224024}","{'Mean': -0.06156660666321936, 'Std': 0.012201859426429514}","{'Mean': -0.06694160619562282, 'Std': 0.012471978166702789}","{'Mean': -0.059923842103088695, 'Std': 0.011884415993077555}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,temperature,","{'Mean': -0.2037610812588547, 'Std': 0.22123352349798397}","{'Mean': -0.06209829916104938, 'Std': 0.012362763052251195}","{'Mean': -0.06319861629801451, 'Std': 0.009157217359251924}","{'Mean': -0.0599399844442444, 'Std': 0.011604549431728395}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.2997420680590751, 'Std': 0.20541045384065507}","{'Mean': -0.061336983656558784, 'Std': 0.010249856894757698}","{'Mean': -0.06389891583135303, 'Std': 0.01642081737946767}","{'Mean': -0.06001795960992542, 'Std': 0.011512770275166385}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.07546467665897705, 'Std': 0.013232275727056932}","{'Mean': -0.06113331023890887, 'Std': 0.011835199961190545}","{'Mean': -0.06444606931917227, 'Std': 0.015376598337776503}","{'Mean': -0.05947823330526085, 'Std': 0.011718679079101192}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.09330527598366947, 'Std': 0.0338990908307995}","{'Mean': -0.05967038677349808, 'Std': 0.012213542862071939}","{'Mean': -0.06246774412869775, 'Std': 0.01360259646040249}","{'Mean': -0.059886315352407425, 'Std': 0.01177773872251012}"
